,id.p,id.p.h,hor,top,bottom,thick,tb,CEC,phw,phkcl,resist,OC,clay,silt20,sand.mf,p_permeabilidad,p_escurrimiento,p_anegamiento,p_drenaje,dren,dem,river,wdist,maxc,mrvbf,slope,twi,vdchn,water,lstm,lstsd,evim,evisd,ndwi.a,ndwi.b,ndwi.bsd,X,Y
94,352,352_B22,B,56,77,21,NA,21.7,9.6,7.6,537,0.2,35.2,31.4,7.7,2,2,clase 3,NA,2.2,57.5623588562,54285.3515625,417.8634338379,-0.9583994746,6.405025959,0.0650293976,20.5097846985,0.2445373535,0,297.3530990868,8.0695462229,3271.3055555556,725.6028530736,-0.0752057738,-0.0799622393,0.0370079239,5433584.37800361,6283540.27801954
95,352,352_B3,BC,77,150,73,NA,15.2,9.4,7.1,1109,0.14,21.4,29.5,8.8,2,2,clase 3,NA,2.2,57.5623588562,54285.3515625,417.8634338379,-0.9583994746,6.405025959,0.0650293976,20.5097846985,0.2445373535,0,297.3530990868,8.0695462229,3271.3055555556,725.6028530736,-0.0752057738,-0.0799622393,0.0370079239,5433584.37800361,6283540.27801954
96,355,355_Ap,A,0,25,25,13.4,17.3,6,5.1,NA,1.45,22,32.1,7.2,2,3,clase 5,NA,2.3,71.6658325195,50043.578125,930.5099487305,9.6505041122,2.6630139351,0.4680849612,10.2973508835,3.1561431885,0,297.1964173618,7.7063196464,3585,1737.4894354964,0.0478425572,-0.0693606087,0.0581194189,5435553.2779968,6287591.17801589
97,355,355_B1,AB.BA,25,33,8,17.4,22.3,6.4,5.2,NA,1.17,30.9,30.3,6.3,2,3,clase 5,NA,2.3,71.6658325195,50043.578125,930.5099487305,9.6505041122,2.6630139351,0.4680849612,10.2973508835,3.1561431885,0,297.1964173618,7.7063196464,3585,1737.4894354964,0.0478425572,-0.0693606087,0.0581194189,5435553.2779968,6287591.17801589
98,355,355_B22,B,73,95,22,24.2,27.7,7,5.3,NA,0.37,34.7,29.5,6.1,2,3,clase 5,NA,2.3,71.6658325195,50043.578125,930.5099487305,9.6505041122,2.6630139351,0.4680849612,10.2973508835,3.1561431885,0,297.1964173618,7.7063196464,3585,1737.4894354964,0.0478425572,-0.0693606087,0.0581194189,5435553.2779968,6287591.17801589
99,355,355_B21,B,33,73,40,26.5,31.6,6.8,5.3,NA,0.57,47,23.1,5.1,2,3,clase 5,NA,2.3,71.6658325195,50043.578125,930.5099487305,9.6505041122,2.6630139351,0.4680849612,10.2973508835,3.1561431885,0,297.1964173618,7.7063196464,3585,1737.4894354964,0.0478425572,-0.0693606087,0.0581194189,5435553.2779968,6287591.17801589
100,355,355_B3,BC,95,160,65,21.3,23.3,7.1,5.8,NA,0.16,27.3,31.8,7.1,2,3,clase 5,NA,2.3,71.6658325195,50043.578125,930.5099487305,9.6505041122,2.6630139351,0.4680849612,10.2973508835,3.1561431885,0,297.1964173618,7.7063196464,3585,1737.4894354964,0.0478425572,-0.0693606087,0.0581194189,5435553.2779968,6287591.17801589
101,355,355_Cca,C,160,195,35,NA,15.3,8.2,7.3,NA,0.11,19.2,30.5,10,2,3,clase 5,NA,2.3,71.6658325195,50043.578125,930.5099487305,9.6505041122,2.6630139351,0.4680849612,10.2973508835,3.1561431885,0,297.1964173618,7.7063196464,3585,1737.4894354964,0.0478425572,-0.0693606087,0.0581194189,5435553.2779968,6287591.17801589
102,356,356_A1/A2,A,0,18,18,14.6,16.4,6.8,6.1,555,NA,17.2,31.8,8.4,2,1,clase 2,NA,2.1,63.5308914185,57998.8671875,305.949798584,-6.8560061455,5.9291005135,0.0355615765,20.4640026093,-0.0022773743,0,297.2710883197,8.0041655302,3278.3819444444,657.1174496304,-0.0610735658,-0.07552494,0.0321276297,5424607.77800331,6288025.17802409
103,356,356_B21,B,18,32,14,NA,20.1,9,8,209,NA,15.5,32.6,8.1,2,1,clase 2,NA,2.1,63.5308914185,57998.8671875,305.949798584,-6.8560061455,5.9291005135,0.0355615765,20.4640026093,-0.0022773743,0,297.2710883197,8.0041655302,3278.3819444444,657.1174496304,-0.0610735658,-0.07552494,0.0321276297,5424607.77800331,6288025.17802409
104,356,356_B22,B,32,54,22,NA,38.5,8.9,7.9,154,NA,31.4,29.4,3.7,2,1,clase 2,NA,2.1,63.5308914185,57998.8671875,305.949798584,-6.8560061455,5.9291005135,0.0355615765,20.4640026093,-0.0022773743,0,297.2710883197,8.0041655302,3278.3819444444,657.1174496304,-0.0610735658,-0.07552494,0.0321276297,5424607.77800331,6288025.17802409
105,356,356_B3,BC,54,74,20,NA,35.1,8.9,7.7,222,NA,28.7,28.7,5,2,1,clase 2,NA,2.1,63.5308914185,57998.8671875,305.949798584,-6.8560061455,5.9291005135,0.0355615765,20.4640026093,-0.0022773743,0,297.2710883197,8.0041655302,3278.3819444444,657.1174496304,-0.0610735658,-0.07552494,0.0321276297,5424607.77800331,6288025.17802409
113,358,358_Ap,A,0,14,14,19,22.9,6.2,5.3,3000,1.56,24.5,34.1,6.2,2,3,NA,NA,2.3,56.6983375549,33986.65625,1023.9917602539,3.5685830116,2.7391214371,0.3645699918,10.4351568222,5.3608055115,0,297.5368030805,8.0010510221,3263.1041666667,1650.4777596888,0.0314395743,-0.0942895267,0.051061215,5453955.08623637,6291511.16345247
114,358,358_A12,A,14,20,6,19,24,6.2,4.9,4935,1.37,28.4,33.5,5.1,2,3,NA,NA,2.3,56.6983375549,33986.65625,1023.9917602539,3.5685830116,2.7391214371,0.3645699918,10.4351568222,5.3608055115,0,297.5368030805,8.0010510221,3263.1041666667,1650.4777596888,0.0314395743,-0.0942895267,0.051061215,5453955.08623637,6291511.16345247
115,358,358_B1,AB.BA,20,30,10,22.1,26.7,6.1,4.7,3380,1.16,33.5,32,4,2,3,NA,NA,2.3,56.6983375549,33986.65625,1023.9917602539,3.5685830116,2.7391214371,0.3645699918,10.4351568222,5.3608055115,0,297.5368030805,8.0010510221,3263.1041666667,1650.4777596888,0.0314395743,-0.0942895267,0.051061215,5453955.08623637,6291511.16345247
116,358,358_B21,B,30,72,42,37.5,40.9,6.6,4.9,1303,0.5,49.5,26.3,4.3,2,3,NA,NA,2.3,56.6983375549,33986.65625,1023.9917602539,3.5685830116,2.7391214371,0.3645699918,10.4351568222,5.3608055115,0,297.5368030805,8.0010510221,3263.1041666667,1650.4777596888,0.0314395743,-0.0942895267,0.051061215,5453955.08623637,6291511.16345247
117,358,358_B22,B,72,104,32,34,37.5,7.1,5.3,1339,0.17,40.2,28.7,3.8,2,3,NA,NA,2.3,56.6983375549,33986.65625,1023.9917602539,3.5685830116,2.7391214371,0.3645699918,10.4351568222,5.3608055115,0,297.5368030805,8.0010510221,3263.1041666667,1650.4777596888,0.0314395743,-0.0942895267,0.051061215,5453955.08623637,6291511.16345247
118,358,358_B31ca,BC,104,154,50,NA,41.9,8.1,6.9,1288,0.11,35.9,23.4,3.1,2,3,NA,NA,2.3,56.6983375549,33986.65625,1023.9917602539,3.5685830116,2.7391214371,0.3645699918,10.4351568222,5.3608055115,0,297.5368030805,8.0010510221,3263.1041666667,1650.4777596888,0.0314395743,-0.0942895267,0.051061215,5453955.08623637,6291511.16345247
119,358,358_B32ca,BC,154,200,46,NA,43.6,8.1,6.8,1265,0.1,35.2,32.4,2.6,2,3,NA,NA,2.3,56.6983375549,33986.65625,1023.9917602539,3.5685830116,2.7391214371,0.3645699918,10.4351568222,5.3608055115,0,297.5368030805,8.0010510221,3263.1041666667,1650.4777596888,0.0314395743,-0.0942895267,0.051061215,5453955.08623637,6291511.16345247
120,359,359_A1,A,0,23,23,17.8,23.4,5.3,4.9,1744,1.84,35,28.8,4,1,1,clase 1,clase 2,1.1,40.3265304565,14411.4326171875,123.6966552734,-2.349060297,3.7351005077,0.1730530709,12.725935936,1.7153205872,0,297.6310688427,7.8862967976,3291.0972222222,1500.429180184,0.0204525158,-0.0987142249,0.0761677973,5489604.34064186,6286514.50443699
121,359,359_B21,B,23,60,37,32.6,34.9,6.6,5.5,1744,0.66,58.3,16.2,3.1,1,1,clase 1,clase 2,1.1,40.3265304565,14411.4326171875,123.6966552734,-2.349060297,3.7351005077,0.1730530709,12.725935936,1.7153205872,0,297.6310688427,7.8862967976,3291.0972222222,1500.429180184,0.0204525158,-0.0987142249,0.0761677973,5489604.34064186,6286514.50443699
122,359,359_B22,B,60,97,37,35,36.4,6.8,5.9,1657,0.37,55.8,18.3,3.1,1,1,clase 1,clase 2,1.1,40.3265304565,14411.4326171875,123.6966552734,-2.349060297,3.7351005077,0.1730530709,12.725935936,1.7153205872,0,297.6310688427,7.8862967976,3291.0972222222,1500.429180184,0.0204525158,-0.0987142249,0.0761677973,5489604.34064186,6286514.50443699
123,359,359_B3ca,BC,97,120,23,NA,34.4,7.7,6.9,1526,0.21,45,24,2.1,1,1,clase 1,clase 2,1.1,40.3265304565,14411.4326171875,123.6966552734,-2.349060297,3.7351005077,0.1730530709,12.725935936,1.7153205872,0,297.6310688427,7.8862967976,3291.0972222222,1500.429180184,0.0204525158,-0.0987142249,0.0761677973,5489604.34064186,6286514.50443699
124,360,360_A1,A,0,18,18,NA,13.8,9.2,7.8,895,0.78,14.2,35.7,6.1,1,1,clase 1,clase 1,1.1,34.4585647583,23083.306640625,330.0093078613,-3.4877579212,3.7981922626,0.1992580295,12.8592166901,1.2714157104,0,297.5407917101,8.0380910323,2985.8888888889,549.1510435999,-0.0729387149,-0.0687932894,0.0342877714,5478728.85392764,6283195.00514949
125,360,360_B22,B,35,65,30,NA,28.6,9.5,8,403,0.35,42.7,21.6,3.6,1,1,clase 1,clase 1,1.1,34.4585647583,23083.306640625,330.0093078613,-3.4877579212,3.7981922626,0.1992580295,12.8592166901,1.2714157104,0,297.5407917101,8.0380910323,2985.8888888889,549.1510435999,-0.0729387149,-0.0687932894,0.0342877714,5478728.85392764,6283195.00514949
126,360,360_B21,B,18,35,17,NA,29.8,9.5,8.1,411,0.41,36.8,23.2,4.1,1,1,clase 1,clase 1,1.1,34.4585647583,23083.306640625,330.0093078613,-3.4877579212,3.7981922626,0.1992580295,12.8592166901,1.2714157104,0,297.5407917101,8.0380910323,2985.8888888889,549.1510435999,-0.0729387149,-0.0687932894,0.0342877714,5478728.85392764,6283195.00514949
127,360,360_B3,BC,65,130,65,NA,28,9.1,7.5,794,0.13,27.1,29.6,5.3,1,1,clase 1,clase 1,1.1,34.4585647583,23083.306640625,330.0093078613,-3.4877579212,3.7981922626,0.1992580295,12.8592166901,1.2714157104,0,297.5407917101,8.0380910323,2985.8888888889,549.1510435999,-0.0729387149,-0.0687932894,0.0342877714,5478728.85392764,6283195.00514949
128,360,360_C,C,130,150,20,NA,31.9,8.8,7.3,895,0.1,25.6,34.2,4.3,1,1,clase 1,clase 1,1.1,34.4585647583,23083.306640625,330.0093078613,-3.4877579212,3.7981922626,0.1992580295,12.8592166901,1.2714157104,0,297.5407917101,8.0380910323,2985.8888888889,549.1510435999,-0.0729387149,-0.0687932894,0.0342877714,5478728.85392764,6283195.00514949
129,362,362_IIA12,A,7,17,10,30.2,34.7,8.2,6.5,383,1.16,25.3,50.1,1.3,3,3,clase 2,NA,3.3,37.3006820679,31336.5234375,30.0008449554,-10.193066597,5.6506156921,0.1333564222,23.1381473541,0.0070915222,0.1034482792,297.4372171651,7.6778505479,3430.1666666667,1343.5284043989,-0.015977874,-0.0732789298,0.0482966925,5461474.40273901,6288515.42041338
130,362,362_IA11,A,0,7,7,27,39.4,6.9,5.8,407,2.74,30.4,48.4,2.2,3,3,clase 2,NA,3.3,37.3006820679,31336.5234375,30.0008449554,-10.193066597,5.6506156921,0.1333564222,23.1381473541,0.0070915222,0.1034482792,297.4372171651,7.6778505479,3430.1666666667,1343.5284043989,-0.015977874,-0.0732789298,0.0482966925,5461474.40273901,6288515.42041338
131,362,362_IV,X,26,160,134,NA,41,9,6.9,543,0.14,25,49.2,1.5,3,3,clase 2,NA,3.3,37.3006820679,31336.5234375,30.0008449554,-10.193066597,5.6506156921,0.1333564222,23.1381473541,0.0070915222,0.1034482792,297.4372171651,7.6778505479,3430.1666666667,1343.5284043989,-0.015977874,-0.0732789298,0.0482966925,5461474.40273901,6288515.42041338
132,362,362_III,X,17,26,9,NA,35,9.1,7.2,480,0.61,19,47.1,3.8,3,3,clase 2,NA,3.3,37.3006820679,31336.5234375,30.0008449554,-10.193066597,5.6506156921,0.1333564222,23.1381473541,0.0070915222,0.1034482792,297.4372171651,7.6778505479,3430.1666666667,1343.5284043989,-0.015977874,-0.0732789298,0.0482966925,5461474.40273901,6288515.42041338
133,363,363_IV A11,A,42,60,18,NA,22,8.7,7.5,1165,0.64,24.6,34.1,3.3,1,1,clase 3,clase 1,1.1,22.052154541,10491.0771484375,0,-19.5558242798,2.9552435875,0.2812332213,11.7478532791,0.971529007,1.4827586412,297.7981764849,7.9993763758,3629.1875,924.6980756071,-0.0195374641,-0.0494466918,0.0378632443,5481126.4291195,6298943.2109593
134,363,363_IV A12,A,60,84,24,NA,22,8.5,7.3,1831,0.64,27.7,33.2,3.1,1,1,clase 3,clase 1,1.1,22.052154541,10491.0771484375,0,-19.5558242798,2.9552435875,0.2812332213,11.7478532791,0.971529007,1.4827586412,297.7981764849,7.9993763758,3629.1875,924.6980756071,-0.0195374641,-0.0494466918,0.0378632443,5481126.4291195,6298943.2109593
135,363,363_IV B2,B,84,104,20,NA,24.3,8.2,7,1290,0.29,39.6,22.1,4.2,1,1,clase 3,clase 1,1.1,22.052154541,10491.0771484375,0,-19.5558242798,2.9552435875,0.2812332213,11.7478532791,0.971529007,1.4827586412,297.7981764849,7.9993763758,3629.1875,924.6980756071,-0.0195374641,-0.0494466918,0.0378632443,5481126.4291195,6298943.2109593
136,363,363_I,X,0,16,16,NA,22.9,10,8.6,407,NA,29.7,28.7,2.7,1,1,clase 3,clase 1,1.1,22.052154541,10491.0771484375,0,-19.5558242798,2.9552435875,0.2812332213,11.7478532791,0.971529007,1.4827586412,297.7981764849,7.9993763758,3629.1875,924.6980756071,-0.0195374641,-0.0494466918,0.0378632443,5481126.4291195,6298943.2109593
137,363,363_II,X,16,30,14,NA,18.2,9.7,8.6,583,NA,18.6,21.2,12.3,1,1,clase 3,clase 1,1.1,22.052154541,10491.0771484375,0,-19.5558242798,2.9552435875,0.2812332213,11.7478532791,0.971529007,1.4827586412,297.7981764849,7.9993763758,3629.1875,924.6980756071,-0.0195374641,-0.0494466918,0.0378632443,5481126.4291195,6298943.2109593
138,363,363_III,X,30,42,12,NA,19.1,9.2,7.9,949,0.37,18.8,24.9,11.2,1,1,clase 3,clase 1,1.1,22.052154541,10491.0771484375,0,-19.5558242798,2.9552435875,0.2812332213,11.7478532791,0.971529007,1.4827586412,297.7981764849,7.9993763758,3629.1875,924.6980756071,-0.0195374641,-0.0494466918,0.0378632443,5481126.4291195,6298943.2109593
139,364,364_A1,A,0,14,14,19,24.9,5,4.7,2387,2.81,34.8,34.8,5.5,2,3,clase 3,clase 2,2.3,25.9030723572,11540.3857421875,301.5047607422,-17.1422405243,3.1223216057,0.2334418148,14.186712265,0.1829833984,0,297.6967742562,7.9014324968,3581.3958333333,840.8317162711,-0.0503159034,-0.0624169834,0.0347760498,5468624.00562296,6308567.82194649
140,364,364_B21,B,14,32,18,17.5,20.1,6.1,5.3,2136,1.03,28.4,27.4,5.4,2,3,clase 3,clase 2,2.3,25.9030723572,11540.3857421875,301.5047607422,-17.1422405243,3.1223216057,0.2334418148,14.186712265,0.1829833984,0,297.6967742562,7.9014324968,3581.3958333333,840.8317162711,-0.0503159034,-0.0624169834,0.0347760498,5468624.00562296,6308567.82194649
141,364,364_B22,B,32,70,38,24.4,24.4,7.8,6.6,1424,0.55,36.9,23.3,5.4,2,3,clase 3,clase 2,2.3,25.9030723572,11540.3857421875,301.5047607422,-17.1422405243,3.1223216057,0.2334418148,14.186712265,0.1829833984,0,297.6967742562,7.9014324968,3581.3958333333,840.8317162711,-0.0503159034,-0.0624169834,0.0347760498,5468624.00562296,6308567.82194649
142,364,364_B3,BC,70,130,60,NA,22.8,8.2,6.9,1885,0.2,16.6,27.2,6.5,2,3,clase 3,clase 2,2.3,25.9030723572,11540.3857421875,301.5047607422,-17.1422405243,3.1223216057,0.2334418148,14.186712265,0.1829833984,0,297.6967742562,7.9014324968,3581.3958333333,840.8317162711,-0.0503159034,-0.0624169834,0.0347760498,5468624.00562296,6308567.82194649
143,364,364_C,C,130,150,20,22.1,23,7.8,6.6,2555,0.14,15,36.6,6.2,2,3,clase 3,clase 2,2.3,25.9030723572,11540.3857421875,301.5047607422,-17.1422405243,3.1223216057,0.2334418148,14.186712265,0.1829833984,0,297.6967742562,7.9014324968,3581.3958333333,840.8317162711,-0.0503159034,-0.0624169834,0.0347760498,5468624.00562296,6308567.82194649
144,365,365_A1,A,0,26,26,17,21.6,5.7,5.1,4142,1.85,27.2,29.3,4.9,1,3,clase 5,clase 4,1.3,54.7131767273,26910.2890625,442.9571838379,5.4227561951,3.9017927647,0.1328847706,10.4551181793,2.4981231689,0,297.2977061103,7.7897826183,3603.0486111111,1815.3380787825,0.034478368,-0.1145396202,0.0697644563,5480953.33608616,6276953.32715963
145,365,365_B1,AB.BA,26,39,13,15.6,19.5,5.7,5,3580,1.26,32.3,27,5.2,1,3,clase 5,clase 4,1.3,54.7131767273,26910.2890625,442.9571838379,5.4227561951,3.9017927647,0.1328847706,10.4551181793,2.4981231689,0,297.2977061103,7.7897826183,3603.0486111111,1815.3380787825,0.034478368,-0.1145396202,0.0697644563,5480953.33608616,6276953.32715963
146,365,365_B23,B,120,140,20,30.7,31.6,6.9,5.6,1982,0.3,42.8,23.4,4.3,1,3,clase 5,clase 4,1.3,54.7131767273,26910.2890625,442.9571838379,5.4227561951,3.9017927647,0.1328847706,10.4551181793,2.4981231689,0,297.2977061103,7.7897826183,3603.0486111111,1815.3380787825,0.034478368,-0.1145396202,0.0697644563,5480953.33608616,6276953.32715963
147,365,365_B21,B,39,80,41,28.4,32.9,6.2,5,2126,0.75,51.9,19.7,3.1,1,3,clase 5,clase 4,1.3,54.7131767273,26910.2890625,442.9571838379,5.4227561951,3.9017927647,0.1328847706,10.4551181793,2.4981231689,0,297.2977061103,7.7897826183,3603.0486111111,1815.3380787825,0.034478368,-0.1145396202,0.0697644563,5480953.33608616,6276953.32715963
148,365,365_B22,B,80,120,40,26.6,29.3,6.5,5.3,2126,0.35,36.7,29.5,3.7,1,3,clase 5,clase 4,1.3,54.7131767273,26910.2890625,442.9571838379,5.4227561951,3.9017927647,0.1328847706,10.4551181793,2.4981231689,0,297.2977061103,7.7897826183,3603.0486111111,1815.3380787825,0.034478368,-0.1145396202,0.0697644563,5480953.33608616,6276953.32715963
149,365,365_B3,BC,140,185,45,NA,30.8,8,7.2,1802,0.18,36.2,23.6,3.6,1,3,clase 5,clase 4,1.3,54.7131767273,26910.2890625,442.9571838379,5.4227561951,3.9017927647,0.1328847706,10.4551181793,2.4981231689,0,297.2977061103,7.7897826183,3603.0486111111,1815.3380787825,0.034478368,-0.1145396202,0.0697644563,5480953.33608616,6276953.32715963
150,365,365_C,C,185,205,20,NA,30.1,8.1,7.2,1698,0.16,28.6,27.6,2.4,1,3,clase 5,clase 4,1.3,54.7131767273,26910.2890625,442.9571838379,5.4227561951,3.9017927647,0.1328847706,10.4551181793,2.4981231689,0,297.2977061103,7.7897826183,3603.0486111111,1815.3380787825,0.034478368,-0.1145396202,0.0697644563,5480953.33608616,6276953.32715963
151,366,366_Enlame,A,0,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,clase 2,clase 1,2.3,27.0118198395,11731.251953125,429.5467224121,-14.5131521225,1.6887898445,0.392675221,10.8901557922,1.3296852112,0,297.6967742562,7.9014324968,3581.3958333333,840.8317162711,-0.000591414,-0.073556446,0.0450381571,5468522.4942091,6308441.35519683
152,366,366_A1,A,6,14,8,NA,20.2,9.4,8.1,773,0.6,18.2,28.8,5.2,2,3,clase 2,clase 1,2.3,27.0118198395,11731.251953125,429.5467224121,-14.5131521225,1.6887898445,0.392675221,10.8901557922,1.3296852112,0,297.6967742562,7.9014324968,3581.3958333333,840.8317162711,-0.000591414,-0.073556446,0.0450381571,5468522.4942091,6308441.35519683
153,366,366_B2,B,23,76,53,NA,34.2,9.3,8,670,0.24,46,17,3.5,2,3,clase 2,clase 1,2.3,27.0118198395,11731.251953125,429.5467224121,-14.5131521225,1.6887898445,0.392675221,10.8901557922,1.3296852112,0,297.6967742562,7.9014324968,3581.3958333333,840.8317162711,-0.000591414,-0.073556446,0.0450381571,5468522.4942091,6308441.35519683
154,366,366_B3,BC,76,120,44,NA,29.5,8.9,7.5,921,0.15,32.3,23.7,4.5,2,3,clase 2,clase 1,2.3,27.0118198395,11731.251953125,429.5467224121,-14.5131521225,1.6887898445,0.392675221,10.8901557922,1.3296852112,0,297.6967742562,7.9014324968,3581.3958333333,840.8317162711,-0.000591414,-0.073556446,0.0450381571,5468522.4942091,6308441.35519683
155,366,366_C,C,120,140,20,NA,22.9,8.8,7.6,1591,0.12,16.7,24.3,7.8,2,3,clase 2,clase 1,2.3,27.0118198395,11731.251953125,429.5467224121,-14.5131521225,1.6887898445,0.392675221,10.8901557922,1.3296852112,0,297.6967742562,7.9014324968,3581.3958333333,840.8317162711,-0.000591414,-0.073556446,0.0450381571,5468522.4942091,6308441.35519683
156,366,366_A2,E,14,23,9,NA,18,9.6,8.3,769,0.58,16.1,27.1,4.3,2,3,clase 2,clase 1,2.3,27.0118198395,11731.251953125,429.5467224121,-14.5131521225,1.6887898445,0.392675221,10.8901557922,1.3296852112,0,297.6967742562,7.9014324968,3581.3958333333,840.8317162711,-0.000591414,-0.073556446,0.0450381571,5468522.4942091,6308441.35519683
157,367,367_A1,A,0,20,20,9.5,11.2,6.9,5.9,5698,0.66,13.4,39.7,6.2,1,2,clase 3,clase 1,1.2,36.9604949951,23039.791015625,530.7691650391,-11.5131988525,2.4978835583,0.4341657758,11.3623800278,0.8107757568,0,297.5407917101,8.0380910323,3747.5347222222,968.7013360712,-0.0488808966,-0.055179878,0.0506728687,5479157.91982191,6282859.21040377
158,367,367_B22,B,80,115,35,NA,31.3,9,7.4,907,0.26,40.7,19.1,5.3,1,2,clase 3,clase 1,1.2,36.9604949951,23039.791015625,530.7691650391,-11.5131988525,2.4978835583,0.4341657758,11.3623800278,0.8107757568,0,297.5407917101,8.0380910323,3747.5347222222,968.7013360712,-0.0488808966,-0.055179878,0.0506728687,5479157.91982191,6282859.21040377
159,367,367_B21,B,30,80,50,NA,27.3,8.7,7,1035,0.42,37.6,20.6,5.8,1,2,clase 3,clase 1,1.2,36.9604949951,23039.791015625,530.7691650391,-11.5131988525,2.4978835583,0.4341657758,11.3623800278,0.8107757568,0,297.5407917101,8.0380910323,3747.5347222222,968.7013360712,-0.0488808966,-0.055179878,0.0506728687,5479157.91982191,6282859.21040377
160,367,367_B3,BC,115,135,20,NA,22.9,8.7,7.4,1360,0.21,NA,NA,NA,1,2,clase 3,clase 1,1.2,36.9604949951,23039.791015625,530.7691650391,-11.5131988525,2.4978835583,0.4341657758,11.3623800278,0.8107757568,0,297.5407917101,8.0380910323,3747.5347222222,968.7013360712,-0.0488808966,-0.055179878,0.0506728687,5479157.91982191,6282859.21040377
161,367,367_A2,E,20,30,10,11.6,15.6,5.7,5.1,5580,1.49,21.2,31.2,7.9,1,2,clase 3,clase 1,1.2,36.9604949951,23039.791015625,530.7691650391,-11.5131988525,2.4978835583,0.4341657758,11.3623800278,0.8107757568,0,297.5407917101,8.0380910323,3747.5347222222,968.7013360712,-0.0488808966,-0.055179878,0.0506728687,5479157.91982191,6282859.21040377
162,368,368_Ap,A,0,12,12,14.9,18.8,5.5,5.1,3532,1.54,20.3,33.7,5.6,1,2,clase 5,clase 3,1.2,45.5511627197,16684.625,1138.4520263672,-0.877986908,2.8627092838,0.2043627053,11.2800016403,12.0359802246,0,297.6076542471,7.9931933555,3656.0972222222,1778.981347243,0.0485909911,-0.1040064679,0.093278016,5490500.58385317,6282197.9406154
163,368,368_A1,A,12,24,12,14.9,18.9,5.6,5.2,5234,1.47,22.9,31.7,5.6,1,2,clase 5,clase 3,1.2,45.5511627197,16684.625,1138.4520263672,-0.877986908,2.8627092838,0.2043627053,11.2800016403,12.0359802246,0,297.6076542471,7.9931933555,3656.0972222222,1778.981347243,0.0485909911,-0.1040064679,0.093278016,5490500.58385317,6282197.9406154
164,368,368_B1,AB.BA,24,32,8,14.6,18.2,5.8,5.2,4362,0.89,28.1,29.1,5.8,1,2,clase 5,clase 3,1.2,45.5511627197,16684.625,1138.4520263672,-0.877986908,2.8627092838,0.2043627053,11.2800016403,12.0359802246,0,297.6076542471,7.9931933555,3656.0972222222,1778.981347243,0.0485909911,-0.1040064679,0.093278016,5490500.58385317,6282197.9406154
165,368,368_B21,B,32,70,38,24.9,28.9,6,5.1,2311,0.64,46.2,18.3,5.4,1,2,clase 5,clase 3,1.2,45.5511627197,16684.625,1138.4520263672,-0.877986908,2.8627092838,0.2043627053,11.2800016403,12.0359802246,0,297.6076542471,7.9931933555,3656.0972222222,1778.981347243,0.0485909911,-0.1040064679,0.093278016,5490500.58385317,6282197.9406154
166,368,368_B22,B,70,125,55,22.7,25.1,6.2,5.2,2442,0.34,37.2,18.6,7.3,1,2,clase 5,clase 3,1.2,45.5511627197,16684.625,1138.4520263672,-0.877986908,2.8627092838,0.2043627053,11.2800016403,12.0359802246,0,297.6076542471,7.9931933555,3656.0972222222,1778.981347243,0.0485909911,-0.1040064679,0.093278016,5490500.58385317,6282197.9406154
167,368,368_B3,BC,125,180,55,21.1,23.5,6.3,5.1,2659,0.2,27.4,25.9,7.2,1,2,clase 5,clase 3,1.2,45.5511627197,16684.625,1138.4520263672,-0.877986908,2.8627092838,0.2043627053,11.2800016403,12.0359802246,0,297.6076542471,7.9931933555,3656.0972222222,1778.981347243,0.0485909911,-0.1040064679,0.093278016,5490500.58385317,6282197.9406154
168,368,368_C,C,180,200,20,NA,26.6,7.9,7.1,1831,0.17,25.1,28.6,4.4,1,2,clase 5,clase 3,1.2,45.5511627197,16684.625,1138.4520263672,-0.877986908,2.8627092838,0.2043627053,11.2800016403,12.0359802246,0,297.6076542471,7.9931933555,3656.0972222222,1778.981347243,0.0485909911,-0.1040064679,0.093278016,5490500.58385317,6282197.9406154
169,369,369_A1p,A,0,17,17,18.3,19.6,6,5,3450,1.6,21.9,25.8,19,NA,NA,clase 5,NA,NA.NA,57.3995399475,39649.0546875,660.7000732422,-2.1507518291,1.939696312,0.3882462978,10.7214260101,6.3916549683,0,297.3881230956,7.7625779863,3789.6458333333,1950.5330971812,0.0605778946,-0.1003432166,0.0538072409,5460915.78452777,6277861.1927914
170,369,369_A12,A,17,24,7,19.7,21.1,6,5,3215,1.45,25.3,24.8,18.6,NA,NA,clase 5,NA,NA.NA,57.3995399475,39649.0546875,660.7000732422,-2.1507518291,1.939696312,0.3882462978,10.7214260101,6.3916549683,0,297.3881230956,7.7625779863,3789.6458333333,1950.5330971812,0.0605778946,-0.1003432166,0.0538072409,5460915.78452777,6277861.1927914
171,369,369_B22,B,47,72,25,27,28.7,6.2,4.7,1983,0.4,36.4,25.3,14.7,NA,NA,clase 5,NA,NA.NA,57.3995399475,39649.0546875,660.7000732422,-2.1507518291,1.939696312,0.3882462978,10.7214260101,6.3916549683,0,297.3881230956,7.7625779863,3789.6458333333,1950.5330971812,0.0605778946,-0.1003432166,0.0538072409,5460915.78452777,6277861.1927914
